cer,corruption,corruption_type,duration_seconds,item,language,prediction,reference,source,wer
0.11297071129707113,clean,clean,14.46,fleurs_fr_dev100:0,fr," Il y a de nombreuses repercussions sociales politiques, des que l'utilisation du système métrique, du passage de l'absolutisme au républicanisme, une nationalisme et une conviction que le pays a part son haut-pable et non un seul dirigeant.",il y a de nombreuses répercussions sociales et politiques telles que l'utilisation du système métrique le passage de l'absolutisme au républicanisme le nationalisme et la conviction que le pays appartient au peuple et non à un seul dirigeant,fleurs_fr_dev100,0.2894736842105263
0.3565217391304348,clean,clean,6.0,fleurs_fr_dev100:1,fr," n'arrêt pas non plus le pouvoir de dire aux gérôles ma fiscale, il y a celle sur les 3 de voies à notre des états.",il n'avait pas non plus le pouvoir de déroger aux lois fiscales ni à celles sur les droits de douane entre les états,fleurs_fr_dev100,0.6521739130434783
0.24489795918367346,clean,clean,15.36,fleurs_fr_dev100:2,fr," Maintenant, l'argentement disponible dans tout l'archipel à cuisine, j'avance, propose un éventail de placent simplement à ses honnêtes. Dès saver prédominante que le javané privé d'Egis étant les casquins avec les piment, le sucre en particulier sucre de gauche à l'avenet et diverses épisaires en métique.",maintenant largement disponible dans tout l’archipel la cuisine javanaise propose un éventail de plats simplement assaisonnés les saveurs prédominantes que les javanais privilégient étant les cacahuètes les piments le sucre en particulier le sucre de coco javanais et diverses épices aromatiques,fleurs_fr_dev100,0.5853658536585366
0.23140495867768596,clean,clean,7.86,fleurs_fr_dev100:3,fr," De nombreux formes d'accordant, famille, de formes à PS par exemple sans égot, à sur rapport d'aspect au sein rapproche de vrai.",de nombreux formats courants famille de formats aps par exemple sont égaux à ce rapport d’aspect ou s’en approchent de près,fleurs_fr_dev100,0.5714285714285714
0.015384615384615385,clean,clean,8.52,fleurs_fr_dev100:4,fr, La principale religion en Moldavi est le christianisme orthodoxe.,la principale religion en moldavie est le christianisme orthodoxe,fleurs_fr_dev100,0.1111111111111111
0.3125,clean,clean,7.38,fleurs_fr_dev100:5,fr, Sur les routes classées à enéger le frautement effet et vous ne pourrez pas rétondir quand il vous étiez sur l'asval tignue.,sur les routes glacées et enneigées le frottement est faible et vous ne pouvez pas conduire comme si vous étiez sur l'asphalte nu,fleurs_fr_dev100,0.5217391304347826
0.037037037037037035,clean,clean,12.0,fleurs_fr_dev100:6,fr, La science montre désormais que cet économie massivement basé sur le carbone a délogé la biosphère de son état de stabilité qui a soutenu l'évolution humaine pendant 2 millions d'années.,la science montre désormais que cette économie massivement basée sur le carbone a délogé la biosphère de son état de stabilité qui a soutenu l'évolution humaine pendant deux millions d'années,fleurs_fr_dev100,0.1
0.3854166666666667,clean,clean,6.9,fleurs_fr_dev100:7,fr," Lui, noël est une des faits les plus importants de la QUFT&T, elle s'est l'avent dans la naissance de l'huile.",noël est l'une des fêtes les plus importantes de la chrétienté elle célèbre la naissance de jésus,fleurs_fr_dev100,0.5294117647058824
0.6428571428571429,clean,clean,4.944,cv21_zh_dev100:0,zh,深寸名为加沙或幽选的马资法医,身穿名为袈裟或筱悬的麻织法衣。,cv21_zh_dev100,1.0
1.1428571428571428,clean,clean,4.776,cv21_zh_dev100:1,zh,"加来炒味, 即可来炒熟下的YouTube",大赖草为菊科赖草属下的一个种。,cv21_zh_dev100,1.0
0.631578947368421,clean,clean,6.288,cv21_zh_dev100:2,zh,畢業於華中科技大學計算機軟件與理論專業,毕业于华中科技大学计算机软件与理论专业。,cv21_zh_dev100,1.0
0.6666666666666666,clean,clean,7.128,cv21_zh_dev100:3,zh,三名此受扣的化石鞋市出他們與不努類有接近親員關係,三棱齿兽科的化石显示出它们与哺乳类有接近亲缘关系。,cv21_zh_dev100,1.0
0.23076923076923078,clean,clean,4.56,cv21_zh_dev100:4,zh,每月每日都有必須達成的進度,每月每日都有必须达成的进度,cv21_zh_dev100,1.0
0.5,clean,clean,3.864,cv21_zh_dev100:5,zh,阿拉旅克来班,巴拉吕克莱班。,cv21_zh_dev100,1.0
