cer,corruption,corruption_type,duration_seconds,item,language,prediction,reference,source,wer
0.0,clean,clean,14.46,fleurs_fr_dev100:0,fr," Il y a de nombreuses répercussions sociales et politiques, telles que l'utilisation du système métrique, le passage de l'absolutisme au républicanisme, le nationalisme et la conviction que le pays appartient au peuple et non à un seul dirigeant.",il y a de nombreuses répercussions sociales et politiques telles que l'utilisation du système métrique le passage de l'absolutisme au républicanisme le nationalisme et la conviction que le pays appartient au peuple et non à un seul dirigeant,fleurs_fr_dev100,0.0
0.2,clean,clean,6.0,fleurs_fr_dev100:1,fr," Il n'avait pas du pouvoir de déroger au loi fiscal, il y a 7 sur les droits de douane entre les États.",il n'avait pas non plus le pouvoir de déroger aux lois fiscales ni à celles sur les droits de douane entre les états,fleurs_fr_dev100,0.43478260869565216
0.02040816326530612,clean,clean,15.36,fleurs_fr_dev100:2,fr," Maintenant, largement disponible dans tout l'archipel, la cuisine javanais propose un éventail de plats simplement assaisonnés. Des saveurs prédominantes que le javanais privilégié étant les cacahuètes, les piments, le sucre en particulier le sucre de coco javanais et diverses épices aromatiques.",maintenant largement disponible dans tout l’archipel la cuisine javanaise propose un éventail de plats simplement assaisonnés les saveurs prédominantes que les javanais privilégient étant les cacahuètes les piments le sucre en particulier le sucre de coco javanais et diverses épices aromatiques,fleurs_fr_dev100,0.0975609756097561
0.09090909090909091,clean,clean,7.86,fleurs_fr_dev100:3,fr," De nombreux formats courants, familles, de formats APS par exemple sans égaux, à ce rapport d'aspect ou sans rapproche de frais.",de nombreux formats courants famille de formats aps par exemple sont égaux à ce rapport d’aspect ou s’en approchent de près,fleurs_fr_dev100,0.23809523809523808
0.0,clean,clean,8.52,fleurs_fr_dev100:4,fr, La principale religion en Moldavie est le christianisme orthodoxe.,la principale religion en moldavie est le christianisme orthodoxe,fleurs_fr_dev100,0.0
0.1171875,clean,clean,7.38,fleurs_fr_dev100:5,fr," Sur les routes glacées à enneigé, le frottement est faible et vous ne pouvez pas conduire quand vous étiez sur la svalte nu.",sur les routes glacées et enneigées le frottement est faible et vous ne pouvez pas conduire comme si vous étiez sur l'asphalte nu,fleurs_fr_dev100,0.2608695652173913
0.021164021164021163,clean,clean,12.0,fleurs_fr_dev100:6,fr, La science montre désormais que cette économie massivement basée sur le carbone a délogé la biosphère de son état de stabilité qui a soutenu l'évolution humaine pendant 2 millions d'années.,la science montre désormais que cette économie massivement basée sur le carbone a délogé la biosphère de son état de stabilité qui a soutenu l'évolution humaine pendant deux millions d'années,fleurs_fr_dev100,0.03333333333333333
0.0,clean,clean,6.9,fleurs_fr_dev100:7,fr," Noël est l'une des fêtes les plus importantes de la chrétienté, elle célèbre la naissance de Jésus.",noël est l'une des fêtes les plus importantes de la chrétienté elle célèbre la naissance de jésus,fleurs_fr_dev100,0.0
0.5,clean,clean,4.944,cv21_zh_dev100:0,zh,身穿名為加沙或悠玄的麻之法醫,身穿名为袈裟或筱悬的麻织法衣。,cv21_zh_dev100,1.0
0.5,clean,clean,4.776,cv21_zh_dev100:1,zh,大賴陶维植蝌賴陶属下的一个种,大赖草为菊科赖草属下的一个种。,cv21_zh_dev100,1.0
0.631578947368421,clean,clean,6.288,cv21_zh_dev100:2,zh,畢業於華中科技大學計算機軟件與理論專業,毕业于华中科技大学计算机软件与理论专业。,cv21_zh_dev100,1.0
0.6666666666666666,clean,clean,7.128,cv21_zh_dev100:3,zh,三年此授科的話時顯示出他們與不努力有接近親人關係,三棱齿兽科的化石显示出它们与哺乳类有接近亲缘关系。,cv21_zh_dev100,1.0
0.0,clean,clean,4.56,cv21_zh_dev100:4,zh,每月每日都有必须达成的进度,每月每日都有必须达成的进度,cv21_zh_dev100,0.0
0.6666666666666666,clean,clean,3.864,cv21_zh_dev100:5,zh,阿拉旅客來班,巴拉吕克莱班。,cv21_zh_dev100,1.0
0.5714285714285714,clean,clean,5.664,cv21_zh_dev100:6,zh,"少星二十年,當任幼正園,彈劾呼應。",绍兴二十年担任右正言，弹劾胡寅。,cv21_zh_dev100,1.0
0.4,clean,clean,3.024,cv21_zh_dev100:7,zh,相事第七名,乡试第七名。,cv21_zh_dev100,1.0
0.008368200836820083,gaussian_25db,gaussian,14.46,fleurs_fr_dev100:0,fr," Il y a de nombreuses répercussions sociales et politiques, telles que l'utilisation du système métrique au passage de l'absolutisme au républicanisme, le nationalisme et la conviction que le pays appartient au peuple et non à un seul dirigeant.",il y a de nombreuses répercussions sociales et politiques telles que l'utilisation du système métrique le passage de l'absolutisme au républicanisme le nationalisme et la conviction que le pays appartient au peuple et non à un seul dirigeant,fleurs_fr_dev100,0.02631578947368421
0.3826086956521739,gaussian_25db,gaussian,6.0,fleurs_fr_dev100:1,fr, Il n'avait pas du pouvoir de dire au géographie fiscal qu'il n'y a pas de droits de voie entre les états.,il n'avait pas non plus le pouvoir de déroger aux lois fiscales ni à celles sur les droits de douane entre les états,fleurs_fr_dev100,0.5652173913043478
0.023809523809523808,gaussian_25db,gaussian,15.36,fleurs_fr_dev100:2,fr," Maintenant, largement disponible dans tout l'archipel, la cuisine javanais propose un éventail de plats simplement assaisonnés. Des saveurs prédominantes que le javanais privilégié étant les cacahuètes, les piments, le sucre en particulier le sucre de poco javanais et diverses épices aromatiques.",maintenant largement disponible dans tout l’archipel la cuisine javanaise propose un éventail de plats simplement assaisonnés les saveurs prédominantes que les javanais privilégient étant les cacahuètes les piments le sucre en particulier le sucre de coco javanais et diverses épices aromatiques,fleurs_fr_dev100,0.12195121951219512
0.1487603305785124,gaussian_25db,gaussian,7.86,fleurs_fr_dev100:3,fr," de nombreux formats courants, familles, de formats APS par exemple sans ego, à ce rapport d'aspect ou sans rapproche de fringue.",de nombreux formats courants famille de formats aps par exemple sont égaux à ce rapport d’aspect ou s’en approchent de près,fleurs_fr_dev100,0.2857142857142857
0.0,gaussian_25db,gaussian,8.52,fleurs_fr_dev100:4,fr, La principale religion en Moldavie est le christianisme orthodoxe.,la principale religion en moldavie est le christianisme orthodoxe,fleurs_fr_dev100,0.0
0.1328125,gaussian_25db,gaussian,7.38,fleurs_fr_dev100:5,fr," Sur les routes glacées à enneigé, le frottement est faible et vous ne pouvez pas conduire quand vous étiez sur la svalpe nue.",sur les routes glacées et enneigées le frottement est faible et vous ne pouvez pas conduire comme si vous étiez sur l'asphalte nu,fleurs_fr_dev100,0.30434782608695654
0.026455026455026454,gaussian_25db,gaussian,12.0,fleurs_fr_dev100:6,fr, La science montre désormais que cet économie massivement basée sur le carbone a délogé la biosphère et de son état de stabilité qui a soutenu l'évolution humaine pendant deux millions d'années.,la science montre désormais que cette économie massivement basée sur le carbone a délogé la biosphère de son état de stabilité qui a soutenu l'évolution humaine pendant deux millions d'années,fleurs_fr_dev100,0.06666666666666667
0.0,gaussian_25db,gaussian,6.9,fleurs_fr_dev100:7,fr," Noël est l'une des fêtes les plus importantes de la chrétienté, elle célèbre la naissance de Jésus.",noël est l'une des fêtes les plus importantes de la chrétienté elle célèbre la naissance de jésus,fleurs_fr_dev100,0.0
0.5,gaussian_25db,gaussian,4.944,cv21_zh_dev100:0,zh,身穿名為加沙或優選的麻枝法醫,身穿名为袈裟或筱悬的麻织法衣。,cv21_zh_dev100,1.0
0.5,gaussian_25db,gaussian,4.776,cv21_zh_dev100:1,zh,大賴陶维植蝌賴陶属下的一个种,大赖草为菊科赖草属下的一个种。,cv21_zh_dev100,1.0
0.0,gaussian_25db,gaussian,6.288,cv21_zh_dev100:2,zh,毕业于华中科技大学计算机软件与理论专业,毕业于华中科技大学计算机软件与理论专业。,cv21_zh_dev100,0.0
0.6666666666666666,gaussian_25db,gaussian,7.128,cv21_zh_dev100:3,zh,三名子授科的話時顯示出他們與侮辱類有接近性流關係,三棱齿兽科的化石显示出它们与哺乳类有接近亲缘关系。,cv21_zh_dev100,1.0
0.0,gaussian_25db,gaussian,4.56,cv21_zh_dev100:4,zh,每月每日都有必须达成的进度,每月每日都有必须达成的进度,cv21_zh_dev100,0.0
0.6666666666666666,gaussian_25db,gaussian,3.864,cv21_zh_dev100:5,zh,阿拉旅客來班,巴拉吕克莱班。,cv21_zh_dev100,1.0
0.6428571428571429,gaussian_25db,gaussian,5.664,cv21_zh_dev100:6,zh,"少星二十年,擔任幼稚園,彈劾呼應。",绍兴二十年担任右正言，弹劾胡寅。,cv21_zh_dev100,1.0
0.4,gaussian_25db,gaussian,3.024,cv21_zh_dev100:7,zh,相事第七名,乡试第七名。,cv21_zh_dev100,1.0
